Code,Name,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Anual
1820001,Iquique,-70.1361,-20.2153,50,1.657,2.738,0.814,0.043,0.067,0.105,0.6,0.09,0,0.01,0,0.18,6.257
190005,Zapiga,-69.90472,-19.62083,1164,2.624,3.524,0.619,0.2,0.052,0.07,0.185,0.05,0.005,0.01,0,0.29,7.6
2000001,Ollague,-68.2494,-21.2233,3700,6.671,10.457,3.262,0.133,0.943,0.195,0.86,0.32,0.09,0,0.04,0.665,23.533
200002,Mamiña retén,-69.21722,-20.07055,2774,5.962,11.181,2.376,0.424,0.214,0.2,0.82,0.045,0.045,0.05,0.04,0.945,22.2
200004,Huatacondo,-69.05389,-20.92778,2299,3.024,4.271,1.305,0.152,0.186,0.115,0.41,0.03,0.015,0.01,0.02,0.685,10.162
200006,Diego Aracena Iquique Ap_,-70.1786,-20.5397,52,1.381,2.571,0.862,0.01,0.095,0.06,0.625,0.04,0,0,0,0.165,5.767
200010,UNAP (Universidad Arturo Prat)_ Iquique,-70.13083,-20.27083,30,1.871,3.138,0.867,0.143,0.157,0.13,0.665,0.285,0.22,0.1,0.09,0.295,7.876
2020001,Cebollar,-68.3386,-21.5311,3730,11.305,17.595,7.61,0.871,1.133,0.58,2.145,0.935,0.315,0.315,0.1,1.78,44.39
2020002,Ascotan,-68.2756,-21.7253,3970,9.705,15.39,8.729,0.386,1.338,0.705,1.105,1.305,0.775,0.535,0.175,0.895,40.781
210001,Quillagua retén (Pueblo),-69.53444,-21.65833,809,1.538,2.99,1.652,0.181,0.229,0.18,0.565,0.13,0.045,0.005,0,0.27,7.729
2101001,Rio Loa Antes Represa Lequena,-68.6622,-21.6558,3315,9.048,17.824,9.605,1.543,1.1,0.545,4.425,0.755,0.24,0.18,0.155,1.305,46.362
2101003,Lequena,-68.6611,-21.6553,3320,7.89,10.624,8.105,1.1,1.038,0.545,2.51,0.505,0.17,0.135,0.015,0.765,33.181
2102005,Quinchamale,-68.5964,-21.9053,3080,2.662,4.21,2.4,0.386,0.376,0.405,1.06,0.58,0.34,0.055,0.005,0.24,12.59
2103008,Parshall N 2,-68.5175,-21.9428,3318,2.571,5.319,3.324,0.8,0.714,0.505,1.485,0.43,0.06,0.075,0.035,0.295,15.476
2103009,Ojos San Pedro,-68.3128,-21.9706,3800,2.714,4.005,2.119,0.086,0.362,0.25,0.27,0.315,0.135,0.06,0.005,0.255,10.514
2103010,Inacaliri,-68.0661,-22.0278,4040,15.29,18.667,10.557,0.571,1.233,0.475,0.595,1.535,0.355,0.285,0.105,3.14,52.5
2103012,Silala,-68.0289,-22.0139,4305,7.405,10.448,5.943,0.471,1.033,0.33,0.405,1.245,0.23,0.17,0.065,1.49,29.048
2103014,Rio Siloli Antes B_T_ Fcab,-68.0269,-22.0103,4000,55.467,79.648,44.786,4.371,6.095,3.02,4.935,7.635,2.95,5.47,0.9,13.605,227.048
2104002,Rio Loa En Salida Embalse Conchi,-68.6208,-22.0278,2950,9.495,17.133,10.005,2.852,2.867,2.625,5.94,3.465,1.145,0.155,0.345,0.735,56.076
2104007,Conchi Viejo,-68.7239,-21.95,3491,5.386,8.967,5.119,0.938,1.133,0.825,2.675,1.395,0.395,0.01,0.01,0.245,26.833
2104008,Conchi Embalse,-68.6242,-22.025,3010,1.952,3.667,2.138,0.652,0.462,0.175,1.04,0.44,0.305,0.005,0.02,0.155,10.91
2104010,Chiu_Chiu,-68.6367,-22.3378,2524,1.824,3.19,1.838,0.243,0.757,0.4,0.995,0.29,0.085,0.01,0.005,0.08,9.629
2105002,Rio Salado En Sifon Ayquina,-68.3447,-22.2894,2980,2.205,3.714,2.076,0.21,0.671,0.445,0.47,0.345,0.05,0.055,0.045,0.265,10.471
2105014,Cupo,-68.3167,-22.1147,3370,3.01,4.519,2.595,0.443,0.724,0.465,0.55,0.275,0.095,0.07,0.005,0.295,12.962
2105016,Linzor,-68.0228,-22.2297,4100,11.195,16.457,9.343,1.543,1.543,0.93,1.125,1.45,0.39,0.325,0,1.53,45.557
2105017,Toconce,-68.1733,-22.2592,3310,2.676,4.671,2.562,0.61,0.681,0.535,0.365,0.38,0.045,0.06,0.005,0.295,12.805
2105018,Ayquina,-68.3183,-22.2753,3031,2.238,3.767,2.067,0.295,0.657,0.395,0.305,0.25,0.045,0.055,0.005,0.215,10.233
2105020,Salado Embalse,-68.2028,-22.2856,3200,2.557,4.143,2.305,0.395,0.819,0.53,0.225,0.5,0.085,0.055,0.045,0.4,11.971
2105021,Caspana,-68.2122,-22.3367,3260,4.79,7.21,3.705,0.61,0.843,0.79,0.765,0.705,0.275,0.1,0.025,0.5,20.167
2105022,El Tatio,-68.0133,-22.3711,4370,14.114,22.61,12.848,1.438,3.457,1.57,2.375,1.78,0.54,0.025,0,1.66,62.038
2110013,Calama,-68.9044,-22.4494,2300,1.743,3.29,1.857,0.086,0.748,0.205,0.995,0.27,0.05,0.005,0,0.065,9.238
2111004,Tranque Sloman,-69.5139,-21.8506,985,1.429,2.738,1.667,0.186,0.276,0.19,0.505,0.12,0.05,0.005,0,0.135,7.252
2112008,Quillagua,-69.5358,-21.6603,802,1.186,2.271,0.962,0.048,0.21,0.125,0.475,0.1,0.01,0,0,0.25,5.59
2113001,Rio Huatacondo En Copaquire,-68.8833,-20.9333,3540,10.148,13.514,4.89,0.714,1.252,0.46,0.7,0.39,0.035,0.035,0.135,2.725,34.786
2113005,Guatacondo Dga,-69.0456,-20.9272,2460,3.171,3.981,1.719,0.133,0.105,0.06,0.64,0.24,0.015,0.01,0.005,0.485,10.495
220002,El Loa Calama Ad_,-68.9072,-22.4989,2293,1.781,3.248,1.667,0.219,0.776,0.18,1.22,0.165,0.13,0.005,0,0.06,9.367
2210002,Tocopilla,-70.1897,-22.0797,150,1.071,1.962,1.233,0.019,0.2,0.135,0.79,0.225,0.24,0.01,0.005,0.08,5.9
2240001,Escuela FundaciÓN Minera Escondida,-70.3703,-23.6144,0,0.686,0.39,0.719,0.062,0.324,1.05,0.52,0.475,0.09,0.05,0.015,0.02,4.295
230001,Cerro Moreno Antofagasta Ap_,-70.4411,-23.4503,113,0.748,0.729,0.838,0.01,0.286,1.14,0.565,0.29,0.09,0.085,0.02,0.01,4.705
230002,Universidad Católica del Norte_ Antofagasta,-70.41111,-23.68083,31,0.643,0.357,0.533,0.043,0.3,1.265,0.47,0.31,0.115,0.035,0,0.01,3.976
230004,Toconao_A,-68.00556,-23.18611,2495,6.857,11.224,5.281,1.243,2.224,0.79,0.965,1.94,0.675,0.02,0,0.12,31.124
2500016,Toconao_C Experimental,-67.9978,-23.1889,2500,2.176,3.81,1.914,0.476,0.738,0.27,0.445,0.64,0.18,0.035,0.045,0.045,10.695
2500017,Camar,-67.9631,-23.4069,2700,2.595,4.171,2.067,0.262,0.976,0.225,0.61,0.735,0.355,0.115,0.045,0.04,12.095
2500019,Socaire,-67.8925,-23.5869,3251,2.338,3.471,2.186,0.581,0.929,0.185,0.56,0.8,0.43,0.015,0.045,0.075,11.514
2500020,Peine,-68.0581,-23.6842,2460,2.024,2.976,1.781,0.319,1,0.22,0.27,0.69,0.245,0.015,0.04,0.03,9.538
2500021,Talabre,-67.8878,-23.3125,3300,7.143,12.643,5.895,2.014,2.676,1.06,1.35,2.16,0.34,0.075,0.14,0.23,35.471
250005,Taltal,-70.48417,-25.41111,37,0.09,0,0.51,0.576,0.49,1.485,0.99,1.18,0.495,0.415,0.255,0.005,6.262
2510006,San Pedro De Atacama,-68.2003,-22.9053,2450,4.705,6.657,3.671,0.524,1.224,0.65,0.46,0.805,0.31,0.015,0.085,0.055,19.048
2510007,Rio Grande,-68.1658,-22.6522,3250,8.629,11,6.919,1.31,1.61,1.345,1.57,1.04,0.4,0.025,0.16,0.42,34.19
260001,El Salvador comisaría,-69.62611,-26.24639,2240,0.133,0,0.638,0.857,1.043,1.195,1.73,1.42,0.57,0.215,0.1,0,7.652
260002,Chañaral Ad_,-70.61083,-26.33222,23,0.033,0,0.481,0.762,0.905,1.11,1.48,1.215,0.545,0.25,0.125,0.02,6.7
260005,Inca de Oro retén,-69.90528,-26.75528,1592,0.086,0.029,0.51,0.838,1.219,0.94,1.8,1.565,0.535,0.09,0.025,0.125,7.519
2700001,Sierra Gorda,-69.3219,-22.8892,1616,1.662,2.605,1.59,0.119,0.605,0.25,0.835,0.12,0.095,0.01,0,0.04,7.867
270002,Copiapó_ Chamonate Ad_,-70.41417,-27.29944,305,0.033,0.005,0.49,0.819,1.233,0.785,2.21,1.63,0.43,0.105,0.035,0.125,7.648
270003,Copiapó particular,-70.31,-27.36805,434,0.067,0.024,0.486,0.833,1.267,0.78,2.245,1.66,0.455,0.105,0.02,0.11,7.795
270004,Los Loros retén,-70.10722,-27.83222,956,0.157,0.067,0.557,0.971,1.395,0.845,2.425,1.77,0.375,0.065,0.09,0.15,8.595
270008,Desierto De Atacama Caldera Ap_,-70.7742,-27.2639,204,0.052,0.01,0.5,0.786,1.114,0.77,2.27,1.58,0.535,0.13,0.075,0.21,7.767
270009,Copiapó Universidad de Atacama,-70.35333,-27.35889,362,0.062,0.024,0.49,0.833,1.238,0.745,2.23,1.605,0.475,0.14,0.005,0.125,7.719
2710002,Baquedano,-69.8397,-23.3336,1032,1.352,1.362,1.229,0.067,0.419,0.865,0.54,0.265,0.09,0.04,0.005,0.025,6.171
